asterisk,list_name,author,display_name,book_review_link,isbn10,description,publisher,rank,price,published_date,sunday_review_link,ranks_last_week,weeks_on_list,contributor,contributor_note,primary_isbn10,article_chapter_link,dagger,age_group,isbn13,primary_isbn13,title,bestsellers_date,first_chapter_link
,,Amanda Hesser,,,0393325598,,,,0,,https://www.nytimes.com/2003/05/04/books/bites-of-passage.html,,,,,,,,,9780393325591,,"Cooking for Mr. Latte: A Food Lover's Courtship, with Recipes",,
,,Amar'e Stoudemire and Maxcel Hardy III with Rosemary Black,,,0062325183,"One hundred easy family recipes; a collaboration by the New York Knicks' power forward and his friend, the chef who taught him how to cook.",It Books/HarperCollins,,0,,,,,by Amar'e Stoudemire and Maxcel Hardy III with Rosemary Black,,,,,,9780062325181,,COOKING WITH AMAR'E,,
,,James Hamilton-Paterson,,,193337201X,,,,0,,https://www.nytimes.com/2005/12/18/books/review/18drzal.html,,,,,,,,,9781933372013,,Cooking with Fernet Branca,,
,,Hearst Books,,,1618371126,60 Recipes contributed by celebrity chefs.,"Hearst Communications, Inc.",,0,,,,,by Hearst Books,,,,,,9781618371126,,COOKING WITH THE STAR CHEFS,,
,,the editors at Cook’s,,,1933615893,Two thousand recipes from the magazine.,Cook’s Illustrated,,0,,,,,by the editors at Cook’s Illustrated Magazine,Illustrated Magazine,,,,,9781933615899,,COOK’S ILLUSTRATED COOKBOOK,,
,,Eileen Myles,,,1593762100,,,,0,,https://www.nytimes.com/2001/07/29/books/neverland-and-beyond.html,,,,,,,,,9781593762100,,Cool For You,,
,,Gary Kamiya,,,1620401266,"A resident of San Francisco celebrates the city's history, neighborhoods, landmarks and vistas.",Bloomsbury USA,,0,,,,,by Gary Kamiya,,,,,,9781620401262,,COOL GRAY CITY OF LOVE,,
,,Merrill Markoe,,,0345518918,A collection of personal essays from the humo rwriter.,Random House Publishing,,0,,,,,by Merrill Markoe,,,,,,9780345518910,,"COOL, CALM AND CONTENTIOUS",,
0,Hardcover Nonfiction,Amity Shlaes,Hardcover Nonfiction,,0062119125,The 30th president is reclaimed as a conservative hero in this biography. ,Harper,15,0,2013-03-31,https://www.nytimes.com/2013/02/17/books/review/coolidge-by-amity-shlaes.html,,5,by Amity Shlaes,,0061967556,,0,,9780062119124,9780061967559,COOLIDGE,2013-03-16,
0,Hardcover Fiction,Karin Slaughter,Hardcover Fiction,,0345547500,"In Atlanta in 1974, two women cops, both with something to prove, join in the search for a serial killer who is targeting the police.",Dell,9,0,2014-07-13,,,1,by Karin Slaughter,,0345547497,,0,,9780345547507,9780345547491,COP TOWN,2014-06-28,
,,Charles Kipps,,,1439177112,,,,0,,https://www.nytimes.com/1996/03/31/books/books-in-brief-nonfiction-043966.html,,,,,,,,,9781439177112,,Cop Without a Badge: The Extraordinary Undercover Life of Kevin Maher,,
,,Natalie Robins,,,0375410902,,,,0,,https://www.nytimes.com/2005/05/22/books/review/22SCHILLI.html,,,,,,,,,9780375410901,,Copeland's Cure: Homeopathy and the War Between Conventional and Alternative Medicine,,
,,Bernard Virshup,,,0393302539,,,,0,,https://www.nytimes.com/1985/10/20/books/in-short-nonfiction-087074.html,,,,,,,,,9780393302530,,Coping in Medical School,,
,,Peter Trudgill,,,0631154426,,,,0,,https://www.nytimes.com/1986/02/02/books/in-short-fiction-021186.html,,,,,,,,,9780631154426,,Coping With America,,
,,Vivian Perlis,,,0312011490,,,,0,,https://www.nytimes.com/1984/09/30/books/the-gift-to-be-simple.html,,,,,,,,,9780312011499,,Copland: 1900 Through 1942,,
,,Jayne Ann Krentz,,,0515151254,"Abby Radwell, whose psychic talent enables her to understand the paranormal secrets in rare books, becomes the target of a blackmailer.",Jove,,0,,,,,by Jayne Ann Krentz,,,,,,9780515151251,,COPPER BEACH,,
,,Sofie Kelly,,,0451236629,,Signet,,0,,,,,by Sofie Kelly,,,,,,9780451236623,,COPYCAT KILLING,,
,,Peter Cameron,,,1250024137,,,,0,,https://www.nytimes.com/2012/03/18/books/review/coral-glynn-a-novel-by-peter-cameron.html,,,,,,,,,9781250024138,,Coral Glynn: A Novel,,
,,Neil Gaiman,,,,A movie tie-in.,HarperFestival,,6.99,,https://www.nytimes.com/2002/08/11/books/children-s-books-bookshelf-223778.html,,,by Neil Gaiman. Illustrated by Dave McKean,Illustrated by Dave McKean,,,,Ages 9 to 12,,,CORALINE,,
,,Jamila Gavin,,,1854598945,,,,0,,https://www.nytimes.com/2001/12/02/books/children-s-books-339040.html,,,,,,,,,9781854598943,,Coram Boy (Nick Hern Books),,
,,Alexander McCall Smith,,,0307379086,,Pantheon,,0,,,,,by Alexander McCall Smith,,,,,,9780307379085,,CORDUROY MANSIONS,,
0,E-Book Nonfiction,Corey Feldman,E-Book Nonfiction,,1250038782,"The former child star discloses a past of sexual abuse, drug abuse and rehab, and the deaths of famous friends including Corey Haim and Michael Jackson.",St. Martin's,14,0,2013-11-17,,,1,by Corey Feldman,,1250038782,,0,,9781250038784,9781250038784,COREYOGRAPHY,2013-11-02,
,,Adam Bryant,,,0805093060,How to build and maintain a successful organization from lessons learned from interviews of over seventy CEOs conducted by a New York Times business reporter.,Times Books/Holt,,0,,,,,by Adam Bryant,,,,,,9780805093063,,CORNER OFFICE,,
,,Peter Pringle,,,080504292X,,,,0,,https://www.nytimes.com/1998/03/15/books/the-suing-of-mr-butts.html,,,,,,,,,9780805042924,,Cornered: Big Tobacco At the Bar of Justice,,
0,E-Book Nonfiction,Thomas T Noguchi with Joseph DiMona,E-Book Nonfiction,,,"A medical examiner explores the unanswered questions surrounding the deaths of Marilyn Monroe, Robert Kennedy, Sharon Tate and others.",Premier Digital Publishing,12,0,2013-10-13,,,1,by Thomas T. Noguchi with Joseph DiMona,,None,,0,,,9781937957964,CORONER,2013-09-28,
,,Peter Galassi,,,0300067100,,,,0,,https://www.nytimes.com/1991/08/25/books/an-easel-in-the-countryside.html,,,,,,,,,9780300067101,,Corot in Italy: Open-Air Painting and the Classical-Landscape Tradition,,
0,Combined Print and E-Book Fiction,Harper Sloan,Combined Print & E-Book Fiction,,,"The six novels collected here follow the men of Corps Security, brought together by the Marines, as they pursue love.",Harper Sloan,12,0,2015-02-01,,,1,by Harper Sloan,,None,,0,,,A00B00RSL6G2K,CORPS SECURITY: THE SERIES,2015-01-17,
,,Toby Litt,,,0714530689,,,,0,,https://www.nytimes.com/2002/01/27/books/dinner-interrupted.html,,,,,,,,,9780714530680,,Corpsing,,
,,Caroline Blackwood,,,1590170067,,,,0,,https://www.nytimes.com/1986/07/06/books/new-noteworthy.html,,,,,,,,,9781590170069,,Corrigan (New York Review Books Classics),,
0,Combined Print and E-Book Fiction,Lisa Scottoline,Combined Print & E-Book Fiction,,1250027942,"A lawyer, haunted by a case from her past, resolves to make amends when the defendant is indicted for murder.",St. Martin's,13,0,2015-11-15,,,1,by Lisa Scottoline,,1250027942,,0,,9781250027948,9781250027948,CORRUPTED,2015-10-31,
0,Crime and Punishment,Zephyr Teachout,Crime and Punishment,,0674050401,"From Benjamin Franklin's diamond- encrusted snuff box to today's Citizens United, the history of the understanding of political corruption in America.",Harvard University Press,6,0,2014-11-09,https://www.nytimes.com/2014/10/19/books/review/zephyr-teachouts-corruption-in-america.html,,0,by Zephyr Teachout,,0674050401,,0,,9780674050402,9780674050402,CORRUPTION IN AMERICA,2014-10-25,
0,Mass Market Paperback,Clive Cussler and Jack Du Brul,Paperback Mass-Market Fiction,,0425233294,Juan Cabrillo and the crew of the Oregon search for a missing secretary of state whose plane has been shot down.,Putnam,9,27.95,2010-04-11,,,5,by Clive Cussler and Jack Du Brul,,0425233294,,0,,9780425233290,9780425233290,CORSAIR,2010-03-28,
0,Paperback Graphic Books,Hugo Pratt,Paperback Graphic Books,,0789324989,The popular European pirate finally makes his way to American shores thanks to this new translation of the classic Italian work from 1967.,Universe,3,25,2012-04-01,,,1,by Hugo Pratt,,0789324989,,0,,9780789324986,9780789324986,CORTO MALTESE: THE BALLAD OF THE SALT SEA,2012-03-17,
,,Michael Reaves,,,,,Random House Publishing Group,,0,,,,,by Michael Reaves,,,,,,,,CORUSCANT NIGHTS I,,
0,E-Book Nonfiction,Mark Whitaker,E-Book Nonfiction,https://www.nytimes.com/2014/09/23/books/bill-cosby-in-mark-whitakers-new-biography.html,145169797X,A biography of the influential comedian.,Simon & Schuster,20,0,2014-10-05,https://www.nytimes.com/2014/09/21/books/review/mark-whitakers-cosby.html,,0,by Mark Whitaker,,,,0,,9781451697971,9781451697995,COSBY: HIS LIFE AND TIMES,2014-09-20,
,,Victor Hugo,,,0060172223,,,,0,,https://www.nytimes.com/1995/07/16/books/in-short-fiction-355395.html,,,,,,,,,9780060172220,,Cosette: The Sequel to Les Miserables,,
,,Toby Cecchini,,,0767912101,,,,0,,https://www.nytimes.com/2003/10/19/books/bar-talk.html,,,,,,,,,9780767912105,,Cosmopolitan: A Bartender's Life,,
,,Carl Sagan,,,0345331354,,,,0,,https://www.nytimes.com/1981/01/25/books/ten-million-civilizations-nearby.html,,,,,,,,,9780345331359,,Cosmos,,
,,Witold Gombrowicz,,,0802145620,,,,0,,https://www.nytimes.com/2005/11/20/books/review/20gordon.html,,,,,,,,,9780802145628,,Cosmos: A Novel,,
,,Mary Blume,,,0500277249,,,,0,,https://www.nytimes.com/1994/04/24/books/a-sunny-place-for-shady-people.html,,,,,,,,,9780500277249,,Cote D'Azur: Inventing the French Riviera,,
0,Education,Derald Wing Sue and David Sue,Education,,1118022025,,John Wiley & Sons,13,0,2015-02-15,,,0,by Derald Wing Sue and David Sue,,1118022025,,0,,9781118022023,9781118022023,COUNSELING THE CULTURALLY DIVERSE,2015-01-31,
,,Ted Sorensen,,,,"A memoir by John F. Kennedy's speechwriter and close aide, who was sometimes called a 'deputy president.'",Harper,,27.95,,,,,by Ted Sorensen,,,,,,,,COUNSELOR,,
,,Gregg F. Herken,,,0394527356,,,,0,,https://www.nytimes.com/1985/06/16/books/too-important-for-generals.html,,,,,,,,,9780394527352,,Counsels of War,,
,,"Robert Orci, Alex Kurtzman, Tim Jones and Mike Johnson",,,,"This prequel to the “Star Trek” reboot will reveal the backstory of Nero, the new film’s villain.",Diamond Book Distributors,,0,,,,,"by Robert Orci, Alex Kurtzman, Tim Jones and Mike Johnson",,,,,,,,COUNTDOWN,,
0,Combined Print and E-Book Fiction,Fern Michaels,Combined Print & E-Book Fiction,,1420134965,The men in the Sisterhood’s lives join forces to see justice served.,Kensington,13,0,2014-09-21,,,1,by Fern Michaels,,1420134965,,0,,9781420134964,9781420134964,COUNTDOWN,2014-09-06,
,,Timothy Keller,,,,,Dutton,,0,,,,,by Timothy Keller,,,,,,,,COUNTERFEIT GODS,,
0,E-Book Nonfiction,Eric Schmitt and Thom Shanker,E-Book Nonfiction,,,,Holt,35,0,2011-09-04,,,0,by Eric Schmitt and Thom Shanker,,None,,0,,,9781429973106,COUNTERSTRIKE,2011-08-20,
0,Childrens Middle Grade Paperback,Holly Goldberg Sloan,Children’s Middle Grade Paperback,,014242286X,Willow struggles to adjust after the death of her adoptive parents.,Puffin,7,0,2016-12-18,,,35,by Holly Goldberg Sloan,,014242286X,,0,,9780142422861,9780142422861,COUNTING BY 7s,2016-12-03,
,,Larry Colton,,,0446677558,,,,0,,https://www.nytimes.com/2001/01/28/books/books-in-brief-nonfiction-499714.html,,,,,,,,,9780446677554,,Counting Coup: A True Story of Basketball and Honor on the Little Big Horn,,
,,The Duchess of Devonshire,,,0374130299,,,,0,,https://www.nytimes.com/2002/12/22/books/books-in-brief-nonfiction-414670.html,,,,,,,,,9780374130299,,Counting My Chickens . . .: And Other Home Thoughts,,
,,Danielle Steel,,,0345531019,"After her husband’s sudden death, a woman falls in love with a country music superstar.",Delacorte,,0,,,,,by Danielle Steel,,,,,,9780345531018,,COUNTRY,,
,,Debbie Macomber and Raeanne Thayne,,,0778318680,,Mira,,0,,,,,by Debbie Macomber and Raeanne Thayne,,,,,,9780778318682,,COUNTRY BRIDE,,
,,Peter Hessler,,https://www.nytimes.com/2010/02/24/books/24book.html,006180410X,The rapidly changing lives of individual Chinese seen from a car's point of view.,Harper Perennial,,15.99,,https://www.nytimes.com/2010/02/28/books/review/Becker-t.html,,,by Peter Hessler,,,,,,9780061804106,,COUNTRY DRIVING,,
,,Edna O'Brien,,,031612270X,,"Little, Brown",,0,,,,,by Edna O'Brien,,,,,,9780316122702,,COUNTRY GIRL,,
,,Anthony Giardina,,,0812992350,,,,0,,https://www.nytimes.com/1998/02/08/books/guys-who-else-behaving-badly.html,,,,,,,,,9780812992359,,Country of a Marriage: Stories,,
,,Kevin Patterson,,,0385506279,,,,0,,https://www.nytimes.com/2003/02/23/books/books-in-brief-fiction-poetry-341711.html,,,,,,,,,9780385506274,,Country of Cold: Stories of Sex and Death,,
,,Antjie Krog,,,0812931297,,,,0,,https://www.nytimes.com/1999/05/30/books/picking-up-the-pieces.html,,,,,,,,,9780812931297,,"Country of My Skull: Guilt, Sorrow, and the Limits of Forgiveness in the New South Africa",,
,,Don Lee,,,039332706X,,,,0,,https://www.nytimes.com/2004/07/11/books/sex-race-and-the-city.html,,,,,,,,,9780393327069,,Country of Origin: A Novel,,
,,Christopher Brookmyre,,,0802139191,,,,0,,https://www.nytimes.com/2002/09/29/books/books-in-brief-fiction-982172.html,,,,,,,,,9780802139191,,Country of the Blind,,
,,Thomas Hurlimann,,,0880641444,,,,0,,https://www.nytimes.com/1991/06/30/books/in-short-fiction-674191.html,,,,,,,,,9780880641449,,Couple,,
,,Peter Schneider,,,0226739392,,,,0,,https://www.nytimes.com/1996/09/22/books/berliners.html,,,,,,,,,9780226739397,,Couplings (Phoenix Fiction),,
,,Mort Rosenblum,,,0060136545,,,,0,,https://www.nytimes.com/1981/06/21/books/paperbacks-new-and-noteworthy.html,,,,,,,,,9780060136543,,Coups and Earthquakes: Reporting the World for America,,
,,Karl Rove,,,1439191050,President George W. Bush’s senior adviser and deputy chief of staff explains his choices.,Threshold Editions,,0,,https://www.nytimes.com/2010/04/25/books/review/Halperin-t.html,,,by Karl Rove,,,https://www.nytimes.com/2010/03/04/us/politics/04rove.html,,,9781439191057,,COURAGE AND CONSEQUENCE,,
0,Young Adult Hardcover,Simone Biles with Michelle Burford,Young Adult Hardcover,,0310759528,The life of the gold-medal-studded Olympic gymnast.,Zondervan,2,0,2016-12-11,,,2,by Simone Biles with Michelle Burford,,0310759668,,0,,9780310759522,9780310759669,COURAGE TO SOAR,2016-11-26,
,,Randy Alcorn,,,1414358466,,Tyndale,,0,,,,,by Randy Alcorn,,,,,,9781414358468,,COURAGEOUS,,
,,Diana Palmer,,,0373777620,"In the jungles of South America, a mercenary and former ranch manager must contend with the unannounced arrival of a woman from his past.",Harlequin HQN,,0,,,,,by Diana Palmer,,,,,,9780373777624,,COURAGEOUS,,
,,Jan Nowak,,https://www.nytimes.com/1982/11/22/books/books-poland-under-nazi-heel.html,0814317251,,,,0,,https://www.nytimes.com/1982/10/31/books/the-polish-connection.html,,,,,,,,,9780814317259,,Courier from Warsaw,,
0,Young Adult E-Book,Kate Elliott,Young Adult E-Book,,031636424X,,"Little, Brown",5,0,2016-08-14,,,1,by Kate Elliott,,031636424X,,0,,9780316364249,9780316364249,COURT OF FIVES,2016-07-30,
,,James McConkey,,,0879239832,,,,0,,https://www.nytimes.com/1983/01/16/books/a-man-looking-back-around-and-inside.html,,,,,,,,,9780879239831,,Court of Memory (Nonpareil Book),,
1,Mass Market Paperback,Janet Chapman,Paperback Mass-Market Fiction,,0515151068,"While building a wilderness trail in Spellbound Falls, the underachieving playboy Alec MacKeage rescues a beautiful but mysterious woman from kidnappers.",Jove,14,7.99,2012-09-16,,,1,by Janet Chapman,,0515151068,,0,,9780515151060,9780515151060,COURTING CAROLINA,2012-09-01,
0,Mass Market Paperback,Yasmine Galenorn,Paperback Mass-Market Fiction,,051515007X,,Jove,32,0,2011-11-20,,,0,by Yasmine Galenorn,,051515007X,,0,,9780515150070,9780515150070,COURTING DARKNESS,2011-11-05,
,,Marc A Thiessen,,,1596986034,"“Enhanced interrogation” saved American lives and Obama is risking them, a Bush speechwriter says.",Regnery,,29.95,,,,,by Marc A. Thiessen,,,,,,9781596986039,,COURTING DISASTER,,
,,Karen Stabiner,,,0060155272,,,,0,,https://www.nytimes.com/1986/04/13/books/little-match-girl.html,,,,,,,,,9780060155278,,Courting Fame: The Perilous Road to Women's Tennis Stardom,,
0,Mass Market Paperback,Brenda Jackson,Paperback Mass-Market Fiction,,1459230132,,Harlequin,32,0,2012-06-17,,,0,by Brenda Jackson,,0373534736,,0,,9781459230132,9780373534739,COURTING JUSTICE,2012-06-02,
,,Jack Pulaski,,,0939010674,,,,0,,https://www.nytimes.com/2001/11/04/books/books-in-brief-fiction-poetry-851345.html,,,,,,,,,9780939010677,,Courting Laura Providencia,,
0,Hardcover Graphic Books,Ted Naifeh,Hardcover Graphic Books,,1934964778,"Welcome to the life of Courtney, a new kid at school who is living in her uncle’s creepy house.",Oni Press,2,19.99,2012-04-29,,,1,by Ted Naifeh,,1934964778,,0,,9781934964774,9781934964774,"COURTNEY CRUMRIN, VOL. 1",2012-04-14,
,,Steve Bogira,,,0679752064,,,,0,,https://www.nytimes.com/2005/05/01/books/review/01CONOVER.html,,,,,,,,,9780679752066,,Courtroom 302: A Year Behind the Scenes in an American Criminal Courthouse,,
,,Lincoln Kaye,,,0374299986,,,,0,,https://www.nytimes.com/2003/02/09/books/pass-the-erh-guo-tou.html,,,,,,,,,9780374299989,,Cousin Felix Meets the Buddha: and Other Encounters in China and Tibet,,
0,Hardcover Graphic Books,Jules Feiffer,Hardcover Graphic Books,https://www.nytimes.com/2016/08/14/books/review/jules-feiffer-cousin-joseph.html,1631490656,A detective becomes embroiled in a scheme to pay off Hollywood producers during the Great Depression in this noir tale.,Liveright,5,0,2016-08-14,,,1,by Jules Feiffer,,1631490656,,0,,9781631490651,9781631490651,COUSIN JOSEPH,2016-07-30,
,,Virginia Hamilton,,,0590454366,,,,0,,https://www.nytimes.com/1990/11/11/books/children-s-books-when-children-hate.html,,,,,,,,,9780590454360,,Cousins (rev) (pb),,
,,Chris Patten,,https://www.nytimes.com/2006/02/12/books/review/12joffe.html,0805082573,,,,0,,,,,,,,,,,9780805082579,,"Cousins and Strangers: America, Britain, and Europe in a New Century",,
,,Caroline Rennolds Milbank,,,0941434516,,,,0,,https://www.nytimes.com/1985/12/15/books/teeth-wonder-woman-and-the-soul-of-bali-207289.html,,,,,,,,,9780941434515,,"Couture, the Great Designers",,
,,Helen Humphreys,,,0393337553,,,,0,,https://www.nytimes.com/2009/03/15/books/review/Haslett-t.html,,,,,,,,,9780393337556,,Coventry: A Novel,,
,,Jean-Noel Liaut,,,0714529982,,,,0,,https://www.nytimes.com/1996/06/02/books/books-in-brief-nonfiction-088943.html,,,,,,,,,9780714529981,,Cover Girls and Supermodels: 1945-1965,,
,,Adam Hughes,,,1401227821,"Wonder Woman, Catwoman and others are lavishly rendered in this collection of cover illustrations by the award-winning artist Adam Hughes.",DC Comics,,39.99,,,,,by Adam Hughes,,,,,,9781401227821,,COVER RUN: THE DC COMICS ART OF ADAM HUGHES,,
0,Race and Civil Rights,Kenji Yoshino,Race and Civil Rights,,0375760210,A manifesto by a Yale Law School professor calling for a redefinition of civil rights in our law and culture.,Random House,8,0,2016-07-10,https://www.nytimes.com/2006/01/22/books/review/22altho.html,,0,by Kenji Yoshino,,0375760210,,0,,9780375760211,9780375760211,COVERING,2016-06-25,
0,Hardcover Fiction,WEB Griffin and William E Butterworth IV,Hardcover Fiction,,0399157808,Charley Castillo and his men investigate when the Russians and Chinese become involved in a Caribbean nation.,Putnam,21,0,2012-01-08,,,0,by W.E.B. Griffin and William E. Butterworth IV,,0399157808,,0,,9780399157806,9780399157806,COVERT WARRIORS,2011-12-24,
0,Mass Market Paperback,W E B Griffin and William E Butterworth IV,Paperback Mass-Market Fiction,,0515151262,"Someone has been kidnapped from an American Embassy vehicle in Mexico. Everything points to the drug cartels, but Charley Castillo and his group of retired spies suspect otherwise.",Jove,33,0,2013-01-13,,,0,by W. E. B. Griffin and William E. Butterworth IV,,0515151262,,0,,9780515151268,9780515151268,COVERT WARRIORS,2012-12-29,
,,J R Ward,,,,A man becomes a fallen angel and is charged with saving the souls of seven people from the seven deadly sins.,Signet,,7.99,,,,,by J. R. Ward,,,,,,,,COVET,,
,,Malachy Doyle,,,068984462X,,,,0,,https://www.nytimes.com/2002/10/20/books/children-s-books-bookshelf-330809.html,,,,,,,,,9780689844621,,Cow,,
0,Combined Print Nonfiction,Glenn Beck and Kevin Balfe,Combined Hardcover & Paperback Nonfiction,,1442355549,"Thirteen lies that politicians, academics and the media perpetuate.",Threshold Editions/Mercury Radio Arts,12,0,2012-07-29,,,0,by Glenn Beck and Kevin Balfe,,1451693478,,0,,9781442355545,9781451693478,COWARDS,2012-07-14,
,,W. A. Burgess,,,0312155034,,,,0,,https://www.nytimes.com/1997/07/27/books/books-in-brief-fiction-177253.html,,,,,,,,,9780312155032,,Cowards,,
,,Sara Davidson,,,0060193263,,,,0,,https://www.nytimes.com/1999/05/02/books/mr-not-quite-right.html,,,,,,,,,9780060193263,,Cowboy,,
0,E-Book Fiction,Elle James,E-Book Fiction,,,,Story Ink,11,0,2015-02-08,,,0,by Elle James,,None,,0,,,A00B00PKTN7SI,COWBOY 12 PACK,2015-01-24,
,,Jasen Emmons,,,0684818973,,,,0,,https://www.nytimes.com/1995/01/22/books/in-short-fiction-130595.html,,,,,,,,,9780684818979,,COWBOY ANGST: A Novel,,
,,Lorelei James,,,,"Kinky sex in Sundance, Wyoming; the 12th Rough Riders book.",Samhain Publishing,,0,,,,,by Lorelei James,,,,,,,,COWBOY CASANOVA,,
,,Joan D Vinge,,,0765368269,,Tor,,0,,,,,by  Joan D. Vinge,,,,,,9780765368263,,COWBOYS & ALIENS,,
,,Scott Mitchell Rosenberg,,,0061646652,Lasers vs. six shooters battle it out when alien beings land in the Wild West.,It Books,,24.99,,,,,by Scott Mitchell Rosenberg,,,,,,9780061646652,,COWBOYS AND ALIENS,,
,,"Scott M Rosenberg, Fred Van Lente and others",,,0062079077,Lasers vs. six shooters battle it out when alien beings land in the Wild West.,IT Books,,15.99,,,,,"by Scott M. Rosenberg, Fred Van Lente and others",,,,,,9780062079077,,COWBOYS AND ALIENS,,
,,Pam Houston,,,0393326357,,,,0,,https://www.nytimes.com/1993/02/07/books/new-noteworthy.html,,,,,,,,,9780393326352,,Cowboys Are My Weakness: Stories,,
,,Peter Golenbock,,,0446519502,,,,0,,https://www.nytimes.com/1997/08/31/books/books-in-brief-nonfiction-747980.html,,,,,,,,,9780446519502,,Cowboys Have Always Been My Heroes: The Definitive Oral History of America's Team,,
0,Animals,Dan Flores,Animals,,0465052991,"A scientific and cultural history of this ubiquitous, scrappy, ingenious, and often misunderstood howling iconic American.",Basic Books,10,0,2016-09-11,,,0,by Dan Flores,,0465052991,,0,,9780465052998,9780465052998,COYOTE AMERICA,2016-08-27,
,,Ian Frazier,,,0312420587,,,,0,,https://www.nytimes.com/1996/06/23/books/beep-beep.html,,,,,,,,,9780312420581,,Coyote V. Acme,,
,,Lora Leigh,,,,A Coyote woman fights a consuming desire for the rebel who shot her father; a Breeds novel.,Berkley Sensation,,7.99,,,,,by Lora Leigh,,,,,,,,COYOTE’S MATE,,
,,James Alan McPherson,,,0684834650,,,,0,,https://www.nytimes.com/1998/02/15/books/the-zen-of-seafood.html,,,,,,,,,9780684834658,,Crabcakes: A Memoir,,
,,Wendy Chant,,,,A nutrition specialist’s formula for speeding up the metabolism and losing fat more efficiently (meal plans included).,McGraw-Hill,,0,,,,,by Wendy Chant,,,,,,,,CRACK THE FAT-LOSS CODE,,
,,Betsy Byars,,,014031881X,,,,0,,https://www.nytimes.com/1985/08/04/books/children-s-books-147151.html,,,,,,,,,9780140318814,,Cracker Jackson (Puffin Story Books),,
,,Thomas Boswell,,,0385477139,,,,0,,https://www.nytimes.com/1994/04/10/books/in-short-baseball-nonfiction-704997.html,,,,,,,,,9780385477130,,Cracking the Show,,
,,Christopher Bollas,,,0809015900,,,,0,,https://www.nytimes.com/1995/09/10/books/derailing-the-train-of-thought.html,,,,,,,,,9780809015900,,Cracking Up: The Work of Unconscious Experience,,
,,Sara Pritchard,,,061830245X,,,,0,,https://www.nytimes.com/2003/08/24/books/every-insane-family-is-insane-in-its-own-way.html,,,,,,,,,9780618302451,,Crackpots: A Novel,,
0,Young Adult E-Book,James Patterson,Young Adult E-Book,,0316315486,,Vision,1,0,2016-10-02,,,1,by James Patterson,,0316315486,,0,,9780316315487,9780316315487,CRADLE AND ALL,2016-09-17,
,,Jane Rawlinson,,,0312170750,,,,0,,https://www.nytimes.com/1986/12/21/books/black-and-white-kaleidoscope.html,,,,,,,,,9780312170752,,Cradle Song,,
,,Susan Trott,,,0385506910,,,,0,,https://www.nytimes.com/1998/08/09/books/second-mate.html,,,,,,,,,9780385506915,,Crane Spreads Wing: A Bigamist's Story,,
,,Indrani Aikath-Gyaltsen,,,0345383664,,,,0,,https://www.nytimes.com/1994/02/13/books/moonlight-in-a-net.html,,,,,,,,,9780345383662,,Crane's Morning,,
,,Richard Porter,,,1582346380,,,,0,,https://www.nytimes.com/2005/11/20/books/review/20blount.html,,,,,,,,,9781582346380,,Crap Cars,,
,,Scott McClanahan,,,1937512037,,,,0,,https://www.nytimes.com/2013/06/02/books/review/crapalachia-by-scott-mcclanahan.html,,,,,,,,,9781937512033,,Crapalachia: A Biography of Place,,
,,Jules Witcover,,https://www.nytimes.com/1992/03/10/books/books-of-the-times-america-s-big-built-in-gamble.html,0517584808,,,,0,,https://www.nytimes.com/1992/02/23/books/is-this-job-necessary.html,,,,,,,,,9780517584804,,Crapshoot: Rolling The Dice On The Vice Presidency,,
,,Artie Lange with Anthony Bozza,,,147676512X,"The comedian describes his experience with depression, addiction and recovery.",Touchstone/Simon & Schuster,,0,,,,,by Artie Lange with Anthony Bozza,,,,,,9781476765129,,CRASH AND BURN,,
0,E-Book Fiction,Lisa Gardner,E-Book Fiction,,0451475682,"A luxury car is found at the bottom of a ravine in New Hampshire, and the investigation of the accident leads to the discovery of a string of crimes.",Signet,16,0,2015-03-01,,,0,by Lisa Gardner,,,,0,,9780451475688,9780698186170,CRASH AND BURN,2015-02-14,
0,Combined Print and E-Book Fiction,Fern Michaels,Combined Print & E-Book Fiction,,1420140655,The Sisterhood steps up when the legal client of a member is threatened by  ruthless politics and ambition in Washington.,Zebra,5,0,2017-01-15,,,1,by Fern Michaels,,None,,0,,9781420140651,9781420140668,CRASH AND BURN,2016-12-31,
,,Steven Furtick,,,1601424582,Strategies for silencing the enemy within and listening to the voice of God.,Multnomah,,0,,,,,by Steven Furtick,,,,,,9781601424587,,CRASH THE CHATTERBOX,,
,,K Bromberg,,,0989450252,What will be the consequences when Rylee and Colton’s pasts crash into their future? Book 3 of the Driven trilogy.,JKB,,0,,,,,by K. Bromberg,,,,,,9780989450256,,CRASHED,,
,,Harvey Araton,,,0743280695,,,,0,,https://www.nytimes.com/2005/12/18/books/review/18wolff.html,,,,,,,,,9780743280693,,Crashing the Borders: How Basketball Won the World and Lost Its Soul at Home,,
,,Markos Moulitsas Zuniga,,,1931498997,,,,0,,https://www.nytimes.com/2006/03/26/books/review/26beinart.html,,,,,,,,,9781931498999,,"Crashing the Gate: Netroots, Grassroots, and the Rise of People-Powered Politics",,
,,Mary Turco,,,006019264X,,,,0,,https://www.nytimes.com/1999/05/02/books/books-in-brief-nonfiction-364134.html,,,,,,,,,9780060192648,,Crashing the Net: The U.S. Women's Olympic Ice Hockey Team and the Road to Gold,,
