asterisk,list_name,author,display_name,book_review_link,isbn10,description,publisher,rank,price,published_date,sunday_review_link,ranks_last_week,weeks_on_list,contributor,contributor_note,primary_isbn10,article_chapter_link,dagger,age_group,isbn13,primary_isbn13,title,bestsellers_date,first_chapter_link
,,Cora Seton and others,,,,,Story Ink,,0,,,,,by Cora Seton and others,,,,,,,,12-ALARM COWBOYS,,
,,Dustin Thomason,,https://www.nytimes.com/2012/08/24/books/12-21-a-novel-by-dustin-thomason.html,0385341407,,The Dial Press,,0,,,,,by Dustin Thomason,,,,,,9780385341400,,12.21,,
,,Debbie Macomber,,,0778312690,Puppies that need good homes and an ex-husband loom large in the last installment of the Cedar Cove series.,Harlequin,,0,,,,,by Debbie Macomber,,,,,,9780778312697,,1225 CHRISTMAS TREE LANE,,
,,Debbie Macomber,,,0778313905,"For Beth, a basket of puppies and a surprise visit by her ex-husband make this Christmas in Cedar Cove one to remember.",Harlequin Mira,,7.99,,,,,by Debbie Macomber,,,,,,9780778313908,,1225 CHRISTMAS TREE LANE,,
,,Aron Ralston,,,1451617704,A mountaineer describes the extreme measure he took in order to save his life.,"Atria, Pocket Books",,0,,,,,by Aron Ralston,,,https://www.nytimes.com/2010/10/31/movies/31mcgr.html,,,9781451617702,,127 HOURS,,
,,Aron Ralston,,,,A mountaineer describes the extreme measure he took in order to save his life.,"Atria, $15; Pocket Books",,7.99,,,,,by Aron Ralston,,,,,,,,127 HOURS,,
,,James Patterson and Maxine Paetro,,,1455515787,"One week after the birth of her baby, Detective Lindsay Boxer must return to work to investigate a string of grisly murders; a Women’s Murder Club novel.",Vision,,0,,,,,by James Patterson and Maxine Paetro,,,,,,9781455515783,,12TH OF NEVER,,
,,Nevada Barr,,,,,Vanguard,,0,,,,,by Nevada Barr,,,,,,,,13 1/2,,
,,Simon Johnson and James Kwak,,,0307379051,A call for the restructuring of the banking industry.,Pantheon,,0,,https://www.nytimes.com/2010/04/25/books/review/Uchitelle-t.html,,,by Simon Johnson and James Kwak,,,,,,9780307379054,,13 BANKERS,,https://www.nytimes.com/2010/04/25/books/excerpt-13-bankers.html
0,Combined Print and E-Book Nonfiction,Mitchell Zuckoff with members of the Annex Security Team,Combined Print & E-Book Nonfiction,,1455561843,Six C.I.A. contract employees discuss their experience during the attack on the State Department compound and the C.I.A. station called the “annex” in Benghazi in 2012.,Twelve,14,0,2016-06-26,,,13,by Mitchell Zuckoff with members of the Annex Security Team,,None,,0,,9781455561841,9781455582297,13 HOURS,2016-06-11,
